typhoon_name,time,field_index,lat,lon_180,WND,PRES,move_dir_deg,geo_rain_max_mmhr,geo_rain_p95_mmhr_nonzero,geo_area_10_km2,geo_area_20_km2,geo_volume_proxy_mm_km2,geo_max_rain_lon,geo_max_rain_lat
KONG-REY,2024-10-25 23:30:00,59,16.399999618530273,137.5833282470703,18.0,998.0,270.02587890625,38.65460205078125,2.8237833976745605,41850.629882762674,7790.357067194471,1295900.5062278453,136.5,14.8
KONG-REY,2024-10-26 00:00:00,60,16.399999618530273,137.39999389648438,18.0,998.0,270.02587890625,40.83572769165039,2.6691129207611084,42565.08215660261,13306.123835460563,1280745.057308271,136.3,14.8
KONG-REY,2024-10-26 00:30:00,61,16.40833282470703,137.3000030517578,18.0,998.0,274.9789123535156,26.38064193725586,2.0914745330810547,43119.01515350438,3470.516980530183,1046962.2254207431,135.39999999999998,14.8
KONG-REY,2024-10-26 01:00:00,62,16.41666603088379,137.1999969482422,18.0,998.0,274.9791259765625,27.042478561401367,2.080975294113159,42881.89270978376,3470.1238585814626,1048037.0699827923,135.3,14.8
KONG-REY,2024-10-26 01:30:00,63,16.424999237060547,137.10000610351562,18.0,998.0,274.9793395996094,27.749462127685547,2.081134557723999,42648.894371129485,3590.0481334975625,1050907.2889045451,135.2,14.8
KONG-REY,2024-10-26 02:00:00,64,16.433332443237305,137.0,18.0,998.0,274.97955322265625,28.54322052001953,2.1132102012634277,43124.026677867005,2992.2341006894667,1049683.293054075,135.10000000000002,14.8
KONG-REY,2024-10-26 02:30:00,65,16.441667556762695,136.89999389648438,18.0,998.0,274.97979736328125,28.639968872070312,2.123351573944092,42998.90953246736,2872.8732535549516,1046599.0594095137,135.0,14.8
KONG-REY,2024-10-26 03:00:00,66,16.450000762939453,136.8000030517578,18.0,998.0,274.9800109863281,28.013626098632812,2.1574559211730957,42168.70760504952,3113.054390438301,1052307.8459618648,134.89999999999998,14.8
KONG-REY,2024-10-26 03:30:00,67,16.45833396911621,136.6999969482422,18.0,998.0,274.980224609375,27.067302703857422,2.151620626449585,42181.89774009115,2874.1605684202723,1056043.011667691,134.8,14.8
KONG-REY,2024-10-26 04:00:00,68,16.46666717529297,136.60000610351562,18.0,998.0,274.9804382324219,25.00535774230957,2.147257089614868,42543.770826208274,2872.195684499088,1074070.1813730085,134.7,14.8
KONG-REY,2024-10-26 04:30:00,69,16.475000381469727,136.5,18.0,998.0,274.98065185546875,26.144649505615234,2.1791951656341553,42303.404437907215,4184.395219003391,1094188.4957594748,134.3,15.3
KONG-REY,2024-10-26 05:00:00,70,16.483333587646484,136.39999389648438,18.0,998.0,274.98089599609375,30.775346755981445,2.1517136096954346,41596.347364065434,6812.185054259332,1104143.9377892702,134.39999999999998,15.4
