field_index,typhoon_name,time,rainband_width_km,rainband_length_km,rainband_aspect_ratio,rainband_width10_km,rainband_length10_km,rainband_aspect_ratio10,rainband_valid_grid_count,rainband_weight_sum,rainband10_valid_grid_count,rainband10_weight_sum
542,MAN-YI,2024-11-11 00:30:00,489.8464150913914,645.697026694146,1.3181621969687702,186.1632853228994,256.04813727705414,1.3753954590613202,3650,17344.760647654533,433,6797.617639541626
543,MAN-YI,2024-11-11 01:00:00,489.0824066734766,644.3412329644642,1.31744921545428,187.44166282429052,254.2029055552251,1.3561707772167804,3648,17396.86775326729,433,6827.697750091553
544,MAN-YI,2024-11-11 01:30:00,518.2271192036977,617.0731925736072,1.1907389052155242,188.2780675172013,239.30067488425368,1.2709960222126757,3617,16819.319000720978,407,6388.5328187942505
545,MAN-YI,2024-11-11 02:00:00,539.6564832380373,628.1801342110319,1.1640370378612621,163.95546322343657,277.10032847914806,1.6900951211459012,3710,16929.09132862091,413,6233.185312271118
546,MAN-YI,2024-11-11 02:30:00,566.2967748295061,668.5203590043214,1.180512389825265,198.41077038499722,277.12350667812245,1.3967160459101553,3810,18040.180575966835,500,7362.275314331055
547,MAN-YI,2024-11-11 03:00:00,652.5796773352381,810.865465096185,1.2425539643025572,205.6039906559355,306.19363560321557,1.489239749804315,3950,18895.823526144028,558,7865.580095291138
548,MAN-YI,2024-11-11 03:30:00,640.589011480027,862.5821333467336,1.3465453167137675,219.24416362193628,302.6539611413794,1.3804424990909827,3930,18471.210933446884,539,7148.980394363403
549,MAN-YI,2024-11-11 04:00:00,618.6920572599736,889.417451881797,1.4375769681298227,214.27772111891676,316.5663471359003,1.4773647278067485,3945,18813.233088731766,562,7433.899005889893
550,MAN-YI,2024-11-11 04:30:00,603.9196877317506,914.1932719506135,1.513766301251432,207.70584877024993,293.18312501605686,1.4115304251270973,3924,18522.872349739075,524,7394.7990646362305
551,MAN-YI,2024-11-11 05:00:00,567.3802367787468,887.8499428874223,1.5648235263323824,201.19367090737342,295.29824083809405,1.4677312636441904,3877,18029.171729683876,520,7353.747908592224
552,MAN-YI,2024-11-11 05:30:00,554.9543703638126,841.0585197193705,1.5155453576624587,181.97599839427824,289.5386255762064,1.5910813960689258,3819,18072.52722287178,490,7567.293933868408
553,MAN-YI,2024-11-11 06:00:00,532.9003788861124,817.7172984592614,1.5344655978073838,169.25927202986293,278.91557946945136,1.6478599731909505,3764,17630.738856434822,433,7185.68713092804
554,MAN-YI,2024-11-11 06:30:00,477.5165926924244,635.0018347482549,1.3298005649769487,219.86503549108096,284.2463542348793,1.2928219969127774,3008,13008.482022047043,329,3851.8744382858276
555,MAN-YI,2024-11-11 07:00:00,484.531568300734,642.6193279080488,1.3262692669576344,199.22692738138832,338.2754473648142,1.697940392953197,3084,12955.857079148293,335,3724.917109489441
556,MAN-YI,2024-11-11 07:30:00,451.1905742203007,667.1026051874202,1.4785384343195425,187.61435962717422,414.0462197836352,2.2069004771618888,3211,14709.299259781837,378,4546.109270095825
557,MAN-YI,2024-11-11 08:00:00,450.6612030181545,667.063121326891,1.480187592940006,188.31398639860487,412.7387645229784,2.191758415911448,3208,14718.252069950104,378,4550.485560417175
558,MAN-YI,2024-11-11 08:30:00,453.3564822405541,667.0413865324421,1.4713396910877383,188.03076915401783,420.22294372145416,2.234862653660919,3220,14846.195350766182,378,4580.342345237732
559,MAN-YI,2024-11-11 09:00:00,432.2021585337847,689.19437649827,1.5946111394637907,157.44989010187857,442.2516958451181,2.808840930653903,3146,14811.85415816307,382,4831.503153800964
560,MAN-YI,2024-11-11 09:30:00,420.32787096953336,676.9499918987404,1.6105284437533913,143.41392025759774,457.4284171366586,3.189567765214353,3189,14864.249135375023,388,4841.573323249817
