field_index,scenario_id,scenario_name,time,rainband_width_km,rainband_length_km,rainband_aspect_ratio,rainband_width10_km,rainband_length10_km,rainband_aspect_ratio10,rainband_valid_grid_count,rainband_weight_sum,rainband10_valid_grid_count,rainband10_weight_sum
652,S1,intensity_enhanced,2024-10-29 13:30:00,454.17222211522983,536.4410073827243,1.181140063750135,250.0646269642331,263.32801099367435,1.0530398249062922,3475,21595.553601145744,579,10165.657242774963
653,S1,intensity_enhanced,2024-10-29 14:00:00,452.93857945060756,527.3053939282029,1.1641874149201366,245.8957498838927,260.1125998961246,1.057816574784004,3404,21217.68424808979,573,10194.587251663208
654,S1,intensity_enhanced,2024-10-29 14:30:00,448.12121457469254,516.9640440133255,1.1536254638244918,223.12369012705446,255.38740721201506,1.1446001411440774,3298,20422.72608911991,511,9542.264157295227
655,S1,intensity_enhanced,2024-10-29 15:00:00,448.4779699589762,518.7224617552627,1.1566286339610188,222.75733623596207,255.0076457687321,1.1447777661455192,3304,20460.597841858864,509,9523.457461357117
656,S1,intensity_enhanced,2024-10-29 15:30:00,443.5569431028701,518.0759999377108,1.1680033600952042,221.22033554938162,257.8875198589204,1.1657496098560645,3297,20795.04748916626,528,10013.994459152222
657,S1,intensity_enhanced,2024-10-29 16:00:00,445.7316191496669,519.2532827515787,1.1649460357830788,228.95741025698845,261.1292070899951,1.1405143288303923,3324,20869.665177226067,549,10166.364311218262
658,S1,intensity_enhanced,2024-10-29 16:30:00,446.30670583539916,519.8485803511476,1.1647787800501253,236.39052236400792,260.7900368420571,1.1032169743272375,3351,21103.565813541412,577,10566.124839782715
659,S1,intensity_enhanced,2024-10-29 17:00:00,446.09986498373587,517.7424924247467,1.1605977339706697,242.13527773015963,262.6925993486343,1.0849001509040046,3322,20965.16711783409,593,10655.483959197998
660,S1,intensity_enhanced,2024-10-29 17:30:00,450.12252162384897,519.078217591608,1.153193169981798,244.56152740058278,265.1582175339714,1.0842188481250812,3340,21240.83372569084,612,10836.617484092712
661,S1,intensity_enhanced,2024-10-29 18:00:00,450.176074945118,537.3925719192847,1.1937386321225496,242.50557739904,272.5771963048015,1.1240038238637204,3424,21426.436774492264,620,10839.002990722656
662,S1,intensity_enhanced,2024-10-29 18:30:00,474.79427980034797,523.4259697666722,1.1024268657717882,256.9154226092413,301.2576908300172,1.1725948087134404,3236,22060.359214544296,718,12403.369401931763
663,S1,intensity_enhanced,2024-10-29 19:00:00,477.89285806194727,522.5459990204212,1.0934375565677203,254.0477565282778,296.8431918376522,1.1684542933745992,3241,22038.669502019882,701,12180.04871559143
664,S1,intensity_enhanced,2024-10-29 19:30:00,478.4475618049328,522.348039264214,1.091756089828667,257.11341011790967,297.81504016921,1.1583022450390037,3232,22139.763218164444,712,12314.628808021545
665,S1,intensity_enhanced,2024-10-29 20:00:00,471.7346934362378,523.6916110903961,1.1101401240508506,253.86091103431812,302.4869295861548,1.1915459073778476,3252,22314.620262265205,718,12653.391865730286
666,S1,intensity_enhanced,2024-10-29 20:30:00,466.87512108319015,524.9570800295352,1.1244057700303,249.99654261060317,304.47564157595184,1.2179194095904142,3295,22537.359406471252,708,12884.552059173584
667,S1,intensity_enhanced,2024-10-29 21:00:00,462.51724893880794,521.7352782897883,1.1280342073443705,251.47926717299873,298.6722593585641,1.187661562386767,3306,22877.048931837082,695,13157.467279434204
668,S1,intensity_enhanced,2024-10-29 21:30:00,463.4970819394214,522.3724538462824,1.1270242558173318,252.14013311409983,299.0423135817354,1.1860163230992267,3304,22776.54180753231,695,13018.34125328064
669,S1,intensity_enhanced,2024-10-29 22:00:00,471.2675852694702,533.6200776105409,1.132308043858812,247.22019362976354,279.9711350910824,1.1324768053145589,3363,21807.30327475071,635,11742.199715614319
670,S1,intensity_enhanced,2024-10-29 22:30:00,456.0804076113863,547.591813965797,1.2006475279955104,242.58850408077166,272.7070445565609,1.1241548546989677,3647,22542.4390989542,636,11706.476276397705
