,rain_max,rain_p95,rain_p99,rain_area_10_grid,rain_area_10_km2,rain_area_10_equiv_radius_km,centroid_offset_km,centroid_relative_to_motion_deg,asym_EW,asym_NS,r80_km,anisotropy,rain_gini,rain_entropy_norm
track_signed_coast_dist_km,0.014717503445954532,-0.03825074565199953,0.03692958862706857,0.06049799406653412,0.07108706750508079,0.07108706750508079,-0.06800575361425426,-0.07361889874729385,-0.06555030955053127,-0.10461585000329772,-0.06117089676122222,-0.0021831933970318427,-0.06369317876511507,0.03324537443279444
is_near_coast_100km,0.02917979006392197,0.04347388966939777,0.005700611748311616,-0.0027621737348917227,-0.007806634029573428,-0.007806634029573428,0.0570589612105257,0.026329680782424366,0.03190560885682201,0.05360025754553662,0.04310807375137541,-0.016565549120434245,0.02197069312656342,-0.00816420991864667
is_near_coast_200km,0.022908177575370316,0.06036338031577871,0.01411258637117519,0.0037982911331434018,-0.0024372722266072424,-0.0024372722266072424,0.04290200657410091,0.03216591258956972,0.02590957254479033,0.05987472939358706,0.036374878618346144,-0.023129510211846255,0.02379555304655295,-0.004672751065153111
is_offshore_far_300km,0.0040348873143585115,-0.04847921617578107,0.003782891520080034,0.022835899160036675,0.03201027554231517,0.03201027554231517,-0.03713222475923398,-0.06926948496989477,-0.06596035642744084,-0.10104707514721582,-0.027757552205623835,-0.0069545467705546616,-0.06300365592455202,0.03582824164383733
is_inland_100km,-0.07729951579165169,-0.0463254677797734,-0.09607018990450839,-0.11646292939095514,-0.12624972060401374,-0.12624972060401374,0.03669816521703321,0.04393913838581307,0.05791575942271773,0.049200202171404216,0.05810311603141327,0.042627750838325616,0.063362895170407,-0.04629547446251076
coast_influence_exp,0.037840796679102055,0.07846469473981696,0.026169552121227367,0.01306004324023435,0.007525328684828372,0.007525328684828372,0.04739711349972061,0.05338514556284495,0.03889092782796111,0.08128658638714946,0.026205803838649514,-0.02334304274663508,0.02698647793043459,-0.004200551134330305
hour_sin,-0.06963809854183686,0.013433335000186583,-0.054205057464635054,-0.057452033203111465,-0.05588394433720134,-0.05588394433720134,-0.030781000919419182,-0.0024118271131240766,-0.02576525930736758,0.017803783350962492,0.023298620245114317,0.010128256053529369,-0.0825608194557685,0.08886381573949874
hour_cos,-0.044961373352427475,0.017760969066507228,0.03495272119041849,0.035038920937676826,0.03411896181570975,0.03411896181570975,0.019082145437941966,-0.01867564416336392,0.03396271791259012,-0.039175096461134026,-0.03508430408440403,0.0452787912295687,0.03844785980708055,-0.029151924498443803
month_sin,0.0032040897151782628,-0.03778280857851078,-0.044753111425969626,-0.037377854341129065,-0.028286237948833916,-0.028286237948833916,0.0544499235794974,-0.03237760834926948,0.05902247859706928,-0.09111229000225793,0.09519789682730027,-0.11793655262229365,0.05074989041742813,-0.046603501618268046
month_cos,-0.03845930638516148,-0.07026714936224948,-0.03481438559388662,-0.02328996310457058,-0.015507223679787652,-0.015507223679787652,-0.10939026998363895,0.14506919993069833,0.012632508734556194,0.3145336172306935,-0.15052392079012872,0.09209440283026987,0.04170815538143915,-0.04942678229501719
interp_center_error_km,0.03198171569652532,0.02974039774542734,0.034065698417738016,0.03628103072484171,0.04189612648868748,0.04189612648868748,-0.026921751610200405,-0.02346498547189259,-0.06165268749590328,-0.037981179083806826,-0.0056166995623500625,-0.012995906997902231,-0.025669791123046477,0.02296911882214523
